counterfeit_smiles,parent_smiles,category,similarity_to_parent,qed,sa_score,p_counterfeit,n_edited_atoms,edited_atoms
NC(=O)[C@@H]1CCCN1C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccccc3)S[C@H]12,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(CN3CCC[C@H]3C(N)=O)S[C@H]12,evolved,0.424,0.583,3.86,,14,0 1 2 3 4 5 6 7 20 21 22 23 24 25
CCCCCCN(CC)CC1=C(C(=O)O)N2C(=O)[C@H]([C@@H](C)O)[C@H]2S1,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(CN3CCC[C@H]3C(N)=O)S[C@H]12,evolved,0.402,0.461,3.69,,9,0 1 2 3 4 5 6 7 8
COc1ccc(CN2C(=O)C(O)C(C)Sc3cc(Cl)ccc32)cc1,C=CCN(C)CCN1C(=O)C(O)C(c2ccc(OC)cc2)Sc2cc(Cl)ccc21,evolved,0.429,0.902,3.08,,9,0 1 2 3 4 5 13 22 23
N#Cc1ccccc1OCC(O)c1ccccc1Cl,CC(C)(C)NCC(O)COc1ccccc1C#N.Cl,evolved,0.455,0.93,2.43,,7,12 13 14 15 16 17 18
Cc1ccccc1C(O)COc1ccccc1C#N,CC(C)(C)NCC(O)COc1ccccc1C#N.Cl,evolved,0.47,0.911,2.41,,7,0 1 2 3 4 5 6
CCNC(=O)COc1ccccc1C#N,CC(C)(C)NCC(O)COc1ccccc1C#N.Cl,evolved,0.415,0.798,1.81,,4,0 1 2 4
CCOc1ccccc1C#N,CC(C)(C)NCC(O)COc1ccccc1C#N.Cl,evolved,0.463,0.64,1.63,,0,
CN1CCN(CCNC(=O)c2cc3ccccc3[nH]2)CC1,O=C(NCC=C(c1ccccc1)c1ccccc1)c1cc2ccccc2[nH]1,evolved,0.436,0.886,2.0,,7,0 1 2 3 4 19 20
CC(C)CCNC(=O)c1cc2ccccc2[nH]1,O=C(NCC=C(c1ccccc1)c1ccccc1)c1cc2ccccc2[nH]1,evolved,0.515,0.833,1.9,,3,0 1 2
CC(C)CNC(=O)c1cc2ccccc2[nH]1,O=C(NCC=C(c1ccccc1)c1ccccc1)c1cc2ccccc2[nH]1,evolved,0.515,0.813,1.86,,2,0 2
CCCNC(=O)c1cc2ccccc2[nH]1,O=C(NCC=C(c1ccccc1)c1ccccc1)c1cc2ccccc2[nH]1,evolved,0.523,0.788,1.79,,1,0
COc1ccc(CNC(=O)c2cc3ccccc3[nH]2)cc1,O=C(NCC=C(c1ccccc1)c1ccccc1)c1cc2ccccc2[nH]1,evolved,0.447,0.771,1.72,,8,0 1 2 3 4 5 19 20
O=C(NCCc1ccccc1)c1cc2ccccc2[nH]1,O=C(NCC=C(c1ccccc1)c1ccccc1)c1cc2ccccc2[nH]1,evolved,0.536,0.747,1.69,,6,5 6 7 8 9 10
O=C(NCc1ccccc1)c1cc2ccccc2[nH]1,O=C(NCC=C(c1ccccc1)c1ccccc1)c1cc2ccccc2[nH]1,evolved,0.537,0.737,1.64,,6,4 5 6 7 8 9
O=C(Nc1ccccc1)c1cc2ccccc2[nH]1,O=C(NCC=C(c1ccccc1)c1ccccc1)c1cc2ccccc2[nH]1,evolved,0.5,0.703,1.59,,6,3 4 5 6 7 8
CCNc1ncnc2c1ncn2Cc1ccccc1,c1ccc(Cn2cnc3c(N4CCC4)ncnc32)cc1,evolved,0.507,0.775,2.06,,3,0 1 2
Cc1ncnc2c1ncn2Cc1ccccc1,c1ccc(Cn2cnc3c(N4CCC4)ncnc32)cc1,evolved,0.541,0.67,2.02,,1,0
c1ccc(Cn2cnc3c(Nc4ccccc4)ncnc32)cc1,c1ccc(Cn2cnc3c(N4CCC4)ncnc32)cc1,evolved,0.493,0.625,1.93,,7,10 11 12 13 14 15 16
COc1cc2ncnc(N3CC[C@@H](C)C3)c2cc1OC,COc1cc2ncnc(N3CC[C@@H](Oc4ncc(Cl)cn4)C3)c2cc1OC,evolved,0.566,0.86,2.55,,1,13
COc1cc2ncnc(N3CC[C@@H](C)C3)c2cc1N1CC[C@@H](C)C1,COc1cc2ncnc(N3CC[C@@H](Oc4ncc(Cl)cn4)C3)c2cc1OC,evolved,0.419,0.865,3.12,,7,13 18 19 20 21 22 23
CCCCc1nn(C(C(=O)O)C(C)C)c(=O)n1CCC,CCCCc1nn(C(C(=O)O)C(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,evolved,0.429,0.792,3.15,,2,18 19
OC(n1cncn1)C(O)(c1ccccc1)c1ccccc1F,C=CC(n1cncn1)C(O)(c1ccccc1)c1ccccc1,evolved,0.439,0.771,3.26,,2,0 21
C=CC(c1ccccc1)n1cncn1,C=CC(n1cncn1)C(O)(c1ccccc1)c1ccccc1,evolved,0.429,0.685,3.03,,6,3 4 5 6 7 8
CCC[C@H](O)/C=C/c1c(-c2ccc(F)cc2)nc(O)nc1C(C)C,CC(C)c1nc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,evolved,0.424,0.829,3.19,,1,18
CCCC[C@H](O)/C=C/c1c(F)nc(-c2ccccc2)nc1C(C)C,CC(C)c1nc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,evolved,0.4,0.73,3.05,,1,10
CC=Cc1c(-c2ccccc2)nc(-c2ccccc2)nc1C(C)C,CC(C)c1nc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,evolved,0.469,0.593,2.18,,0,
CNC(=O)c1cnn(-c2nc(CCl)cs2)c1C,Cc1c(C(=O)NCCCO)cnn1-c1nc(-c2cccc(Cl)c2)cs1,evolved,0.4,0.864,2.58,,2,11 12
Cc1c(C(=O)NCCc2ccccc2)cnn1-c1nc(CF)cs1,Cc1c(C(=O)NCCCO)cnn1-c1nc(-c2cccc(Cl)c2)cs1,evolved,0.416,0.747,2.4,,8,8 9 10 11 12 13 20 21
Cc1c(C(=O)Nc2ccccc2)cnn1-c1nc(-c2cccc(Cl)c2)cs1,Cc1c(C(=O)NCCCO)cnn1-c1nc(-c2cccc(Cl)c2)cs1,evolved,0.656,0.516,2.13,,6,6 7 8 9 10 11
O=C(CNc1ccccc1)N1CCCc2ccccc21,O=C(C(=O)N1CCCc2ccccc21)N1CCCc2ccccc21,evolved,0.5,0.926,1.8,,7,3 4 5 6 7 8 9
O=C(CNN1CCCc2ccccc21)N1CCCc2ccccc21,O=C(C(=O)N1CCCc2ccccc21)N1CCCc2ccccc21,evolved,0.484,0.944,2.45,,11,3 4 5 6 7 8 9 10 11 12 13
O=C(CCc1ccc(F)cc1)N1CCCc2ccccc21,O=C(C(=O)N1CCCc2ccccc21)N1CCCc2ccccc21,evolved,0.476,0.84,1.79,,8,3 4 5 6 7 8 9 10
O=C(c1ccccc1)N1CCCc2ccccc21,O=C(C(=O)N1CCCc2ccccc21)N1CCCc2ccccc21,evolved,0.577,0.745,1.59,,6,2 3 4 5 6 7
OCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,COC(CO)CN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,evolved,0.676,0.913,2.34,,0,
CCCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,COC(CO)CN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,evolved,0.628,0.802,2.28,,1,0
c1ccc(CCN2CCN(C3=Nc4ccccc4Sc4ccccc43)CC2)cc1,COC(CO)CN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,evolved,0.578,0.611,2.24,,6,0 1 2 3 27 28
c1ccc(N2CCN(C3=Nc4ccccc4Sc4ccccc43)CC2)cc1,COC(CO)CN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,evolved,0.571,0.596,2.19,,6,0 1 2 3 25 26
O=C(O)COc1ccccc1Cc1ccccc1,NC(Cc1ccccc1OCC(=O)O)C(=O)O,evolved,0.482,0.876,1.53,,6,12 13 14 15 16 17
COc1ccccc1Cc1ccccc1OCC(=O)O,NC(Cc1ccccc1OCC(=O)O)C(=O)O,evolved,0.5,0.878,1.7,,8,0 1 2 3 4 5 6 7
COc1ccc(C(=O)c2ccc3n2CCC3C(C)CO)cc1,COc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,evolved,0.565,0.864,3.29,,3,17 18 19
COc1ccc(C(=O)c2ccc(OC)n2OC)cc1,COc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,evolved,0.415,0.77,2.46,,4,12 13 15 16
COc1ccc(C(=O)c2ccc([C@H](C)C(=O)O)n2OC)cc1,COc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,evolved,0.4,0.826,3.01,,7,12 13 14 15 16 18 19
COc1ccc(C(=O)c2ccc3n2CCC3C(C)C)cc1,COc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,evolved,0.609,0.798,2.86,,2,17 18
CC[C@@]1(C)[C@@H](OC)CC[C@@H]2[C@@H]1CC[C@]1(C)[C@@H](C3=CC(=O)OC3)CC[C@]21O,CO[C@H]1[C@H](O)[C@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)O[C@@H](C)[C@@H]1O,evolved,0.439,0.775,4.61,,4,0 3 5 6
COc1ccc([C@@H]2Cc3ccccc3N(C)C(=O)[C@@H]2OC)cc1,COc1ccc([C@@H]2Cc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,evolved,0.5,0.874,2.95,,0,
COc1cc2nc(C)nc(NC(C)=O)c2cc1OC,COc1cc2nc(C)nc(Nc3cccc(Br)c3)c2cc1OC,evolved,0.471,0.913,2.09,,3,11 12 13
CNc1nc(C)nc2cc(OC)c(OC)cc12,COc1cc2nc(C)nc(Nc3cccc(Br)c3)c2cc1OC,evolved,0.516,0.878,2.08,,1,0
COc1cc2nc(C)nc(Nc3ccc(F)cc3)c2cc1OC,COc1cc2nc(C)nc(Nc3cccc(Br)c3)c2cc1OC,evolved,0.606,0.793,1.98,,1,15
Cc1c(-c2ccc(F)cc2)nc(N(C)S(C)(=O)=O)nc1C(C)C,COC(=O)C[C@H](O)C[C@H](O)/C=C/c1c(-c2ccc(F)cc2)nc(N(C)S(C)(=O)=O)nc1C(C)C,evolved,0.443,0.86,2.49,,0,
Cc1nc(-c2ccc(F)cc2)c(/C=C/[C@@H](O)CO)c(C(C)C)n1,COC(=O)C[C@H](O)C[C@H](O)/C=C/c1c(-c2ccc(F)cc2)nc(N(C)S(C)(=O)=O)nc1C(C)C,evolved,0.415,0.889,3.07,,2,0 17
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1CCN1CCCCC1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1S(=O)(=O)N1CCN(C=O)CC1,evolved,0.43,0.922,2.34,,8,15 16 17 18 19 20 21 22
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1CCC(C)C,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1S(=O)(=O)N1CCN(C=O)CC1,evolved,0.42,0.924,2.38,,5,15 16 17 18 19
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1S(=O)(=O)N1CCN(C=O)CC1,evolved,0.422,0.801,2.15,,7,15 16 17 18 19 20 21
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1-c1ccccc1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1S(=O)(=O)N1CCN(C=O)CC1,evolved,0.449,0.779,2.08,,6,15 16 17 18 19 20
COC(=O)C1=C(C)NC(c2cccnc2)=C(C(C)=O)C1c1ccccc1Cl,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.Cl,evolved,0.406,0.813,2.86,,7,9 10 11 12 13 14 17
CCCCC1=C(C(C)=O)C(c2ccccc2Cl)C(C(=O)OC)=C(C)N1,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.Cl,evolved,0.518,0.757,2.85,,4,0 1 2 7
CCCCC1=C(C(=O)OCC)C(c2ccccc2Cl)C(C(=O)OC)=C(C)N1,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.Cl,evolved,0.65,0.694,2.78,,3,0 1 2
CNC(=O)c1cc(Oc2ccc(NC)cc2)ccn1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(C)c(C(F)(F)F)c3)cc2)ccn1,evolved,0.554,0.882,2.0,,0,
CCOc1cc2c(Nc3c(F)ccc4c3OCO4)ncnc2cc1F,COc1cc2ncnc(Nc3c(Cl)ccc4c3OCO4)c2cc1OCCCN1CCOCC1,evolved,0.405,0.776,2.55,,2,10 24
COc1cc2ncnc(Nc3ccccc3C)c2cc1OCCCN1CCOCC1,COc1cc2ncnc(Nc3c(Cl)ccc4c3OCO4)c2cc1OCCCN1CCOCC1,evolved,0.593,0.569,2.24,,1,16
COc1cc2ncnc(-c3ccccc3)c2cc1OCCCCCCN1CCOCC1,COc1cc2ncnc(Nc3c(Cl)ccc4c3OCO4)c2cc1OCCCN1CCOCC1,evolved,0.403,0.447,2.23,,15,9 10 11 12 13 14 22 23 24 25 26 27 28 29 30
COc1ccc2c(c1)-c1nc(-c3ccccc3)[nH]c1CCC2,Clc1ccc2c(c1)-c1nc(-c3ccccc3)[nH]c1CCC2,evolved,0.648,0.766,2.13,,2,0 1
c1ccc(-c2ccc3c(c2)-c2nc(-c4ccccc4)[nH]c2CCC3)cc1,Clc1ccc2c(c1)-c1nc(-c3ccccc3)[nH]c1CCC2,evolved,0.676,0.485,2.1,,6,0 1 2 3 24 25
CCC(O)(Cn1cncn1)c1ccc(F)cc1F,CN(CC(O)(Cn1cncn1)c1ccc(F)cc1F)C1CCN(Cc2ccc(F)cc2)CC1,evolved,0.494,0.904,3.02,,1,0
OC(Cc1ccccc1)(Cn1cncn1)c1ccc(F)cc1F,CN(CC(O)(Cn1cncn1)c1ccc(F)cc1F)C1CCN(Cc2ccc(F)cc2)CC1,evolved,0.452,0.787,2.81,,6,3 4 5 6 7 8
COc1cc(OCC(F)(F)F)cc(-c2ccccc2)c1,COC(=O)C(C)(C)CCCOc1cc(OCCCC(C)(C)C(=O)OC)cc(-c2ccccc2)c1,evolved,0.415,0.832,1.84,,3,8 9 10
CCOc1cc(OC)cc(-c2ccccc2)c1,COC(=O)C(C)(C)CCCOc1cc(OCCCC(C)(C)C(=O)OC)cc(-c2ccccc2)c1,evolved,0.413,0.793,1.52,,0,
CCCC1N=C(C)c2cc([N+](=O)c3ccccc3)ccc2NC1=O,CCCC1N=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc2NC1=O,evolved,0.418,0.857,3.4,,7,6 12 13 14 15 16 17
CCCC1N=C(F)c2cc([N+](=O)OC(C)=O)ccc2NC1=O,CCCC1N=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc2NC1=O,evolved,0.413,0.865,3.95,,4,6 13 14 15
CC1=NC(Cc2ccccc2)C(=O)Nc2ccc([N+](=O)[O-])cc21,CCCC1N=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc2NC1=O,evolved,0.407,0.698,2.9,,7,0 5 6 7 8 9 10
CNCCN(C)C1=Nc2cc(C)c(C)cc2Nc2cscc21,Cc1cc2c(cc1C)Nc1cscc1C(N1CCN(C)CC1)=N2,evolved,0.42,0.908,3.15,,6,0 1 2 3 4 5
CCCN(C)C1=Nc2cc(C)c(C)cc2Nc2cscc21,Cc1cc2c(cc1C)Nc1cscc1C(N1CCN(C)CC1)=N2,evolved,0.442,0.859,3.06,,5,0 1 2 3 4
CC(=O)NC1=Nc2cc(C)c(C)cc2Nc2cscc21,Cc1cc2c(cc1C)Nc1cscc1C(N1CCN(C)CC1)=N2,evolved,0.44,0.776,2.92,,4,0 1 2 3
Cc1cc2c(cc1C)Nc1cscc1C(c1ccccc1)=N2,Cc1cc2c(cc1C)Nc1cscc1C(N1CCN(C)CC1)=N2,evolved,0.429,0.487,2.62,,6,15 16 17 18 19 20
CCc1ccc2c(c1)NCCC1=C2N=C(N(CC)CC)N2CCN=C12,CCC1=NC2=C(CCNc3cc(Cl)ccc32)C2=NCCN12,evolved,0.506,0.921,3.43,,7,0 1 15 16 17 18 19
CC1=NC2=C(CCNc3cc(-c4cccc(C)c4)ccc32)C2=NCCN12,CCC1=NC2=C(CCNc3cc(Cl)ccc32)C2=NCCN12,evolved,0.423,0.838,3.1,,7,11 12 13 14 15 16 17
Cc1ccc2c(c1)C(N1CC[N+](C)(CO)CC1)=Nc1ccccc1S2,C[N+]1(CCOCCO)CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,evolved,0.549,0.799,3.09,,2,0 14
CC[N+]1(C)CCN(C2=Nc3ccccc3Sc3ccc(C)cc32)CC1,C[N+]1(CCOCCO)CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,evolved,0.522,0.71,2.97,,1,20
CC(C)(O)N1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,OC(O)(OCCOC1CCCCO1)C(O)(O)N1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,evolved,0.543,0.851,2.72,,1,2
c1ccc2c(c1)N=C(N1CCN(CC3CC3)CC1)c1ccccc1S2,OC(O)(OCCOC1CCCCO1)C(O)(O)N1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,evolved,0.5,0.807,2.36,,3,13 14 15
CCCC(C)(O)N1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,OC(O)(OCCOC1CCCCO1)C(O)(O)N1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,evolved,0.515,0.858,3.23,,3,0 1 4
COc1cc(/C=C2\CCCc3c(C)ccnc32)ccc1CO,COc1cc(/C=C2\CCCc3c(C)ccnc32)ccc1OC(C)=O,evolved,0.649,0.937,2.46,,2,20 21
COc1cc(/C=C2\CCCc3c(N)ccnc32)ccc1C,COc1cc(/C=C2\CCCc3c(C)ccnc32)ccc1OC(C)=O,evolved,0.471,0.908,2.42,,2,12 20
COc1cc(/C=C2\CCCc3c(OC)ccnc32)ccc1C,COc1cc(/C=C2\CCCc3c(C)ccnc32)ccc1OC(C)=O,evolved,0.506,0.846,2.32,,3,12 13 21
COc1cc(/C=C2\CCCc3c(-c4ccccc4)ccnc32)ccc1C,COc1cc(/C=C2\CCCc3c(C)ccnc32)ccc1OC(C)=O,evolved,0.43,0.588,2.24,,7,12 13 14 15 16 17 25
O=C(O)Cc1cccc(OCc2ccccc2)c1,CCCCCC(O)c1cccc(OCc2cccc(CC(=O)O)c2)c1,evolved,0.4,0.876,1.47,,2,0 2
OCCCN1CC[C@@H]2Cc3c(cccc3-c3ccccc3)C[C@@H]21,CCCN1CC[C@@H]2Cc3c(cccc3OC)C[C@@H]21,evolved,0.4,0.934,2.99,,7,0 15 16 17 18 19 20
COc1cccc2c1C[C@H]1CCN(CCc3ccccc3)[C@H]1C2,CCCN1CC[C@@H]2Cc3c(cccc3OC)C[C@@H]21,evolved,0.691,0.853,2.87,,6,15 16 17 18 19 20
CCCC1(c2ccc(OC)cc2)OCc2cc(C#N)ccc21,Br.[2H]C([2H])([2H])N(CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21)C([2H])([2H])[2H],evolved,0.5,0.85,3.0,,2,8 9
COc1ccc(C2(CCF)OCc3cc(C#N)ccc32)cc1,Br.[2H]C([2H])([2H])N(CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21)C([2H])([2H])[2H],evolved,0.512,0.864,3.16,,3,0 1 9
CCCC1(c2ccc(F)cc2)OCc2cc(F)ccc21,Br.[2H]C([2H])([2H])N(CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21)C([2H])([2H])[2H],evolved,0.444,0.798,2.92,,1,16
CCCOc1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,evolved,0.407,0.918,2.25,,5,0 1 2 3 18
CCOc1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,evolved,0.423,0.899,2.21,,4,0 1 2 17
COc1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,evolved,0.466,0.849,2.19,,3,0 1 16
CC(=O)NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,evolved,0.597,0.788,1.94,,1,2
Cc1c(-c2ccccc2)nc2ccccc2c1C(=O)O,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,evolved,0.551,0.762,1.73,,1,19
Cc1c(-c2ccccc2)nc2ccccc2c1C,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,evolved,0.403,0.602,1.64,,0,
Clc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCCCc1nc(C)c(C)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,evolved,0.415,0.766,1.85,,1,0
CN(C)C(=O)[C@@H]1C[C@H](Sc2ccc(Cl)cc2)CN1,C[C@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,evolved,0.436,0.924,3.21,,2,13 15
COCCN(C)C1=Nc2ccccc2Nc2sc(C)cc21,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1.OCCO,evolved,0.411,0.937,2.94,,6,0 1 2 3 4 5
Cc1cc2c(s1)Nc1ccccc1N=C2CN1CCN(C)CC1,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1.OCCO,evolved,0.536,0.916,2.82,,8,15 16 17 18 19 20 21 22
Cc1cc2c(s1)Nc1ccccc1N=C2NCCN1CCN(C)CC1,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1.OCCO,evolved,0.5,0.888,2.79,,10,15 16 17 18 19 20 21 22 23 24
Cc1cc2c(s1)Nc1ccccc1N=C2NCCc1ccccc1,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1.OCCO,evolved,0.429,0.706,2.55,,9,15 16 17 18 19 20 21 22 23
Cc1cc2c(s1)Nc1ccccc1N=C2c1ccccc1,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1.OCCO,evolved,0.434,0.506,2.49,,6,15 16 17 18 19 20
CC(C)(C)C(=O)C(O)(Cn1cncn1)c1ccccc1Cl,CCCC(=O)C(O)(Cn1cncn1)c1ccccc1Cl,evolved,0.656,0.942,3.16,,2,2 3
CCC(O)(Cn1cncn1)c1ccccc1Cl,CCCC(=O)C(O)(Cn1cncn1)c1ccccc1Cl,evolved,0.545,0.907,2.91,,0,
O=C(C(F)(F)F)C(O)(Cn1cncn1)c1ccccc1,CCCC(=O)C(O)(Cn1cncn1)c1ccccc1Cl,evolved,0.408,0.919,3.13,,3,3 4 5
CCOc1ccc(Cc2cc(CCO)ccc2Cl)cc1,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1.C[C@H](O)CO.O,evolved,0.424,0.875,1.82,,3,11 12 13
CCOc1ccc(Cc2cc(C)ccc2Cl)cc1,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1.C[C@H](O)CO.O,evolved,0.41,0.778,1.59,,1,11
CCCCn1cc(CC)c(=O)c2cc(F)c(-c3cc(C)nc(C)c3)c(F)c21,Cc1cc(-c2c(F)cc3c(=O)c(CC4CCCCC4)cn(C4CC4)c3c2F)cc(C)n1,evolved,0.435,0.609,2.7,,5,0 1 2 3 8
Cc1cc(-c2c(F)cc3c(=O)c(-c4ccccc4)cn(C)c3c2F)cc(C)n1,Cc1cc(-c2c(F)cc3c(=O)c(CC4CCCCC4)cn(C4CC4)c3c2F)cc(C)n1,evolved,0.404,0.484,2.53,,7,12 13 14 15 16 17 20
CC(C)C(C)(C)Cc1ccc(-n2ncc(=O)[nH]c2=O)cc1,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,evolved,0.417,0.936,2.55,,6,0 1 2 3 4 5
CCCCc1ccc(-n2ncc(=O)[nH]c2=O)cc1,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,evolved,0.435,0.881,2.08,,3,0 1 2
CC(C)(C)Cc1ccc(-n2ncc(=O)[nH]c2=O)cc1,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,evolved,0.448,0.888,2.31,,4,0 1 2 3
O=c1cnn(-c2ccc(-c3ccc(Cl)cc3)cc2)c(=O)[nH]1,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,evolved,0.433,0.789,1.99,,7,9 10 11 12 13 14 15
O=c1cnn(-c2ccc(-c3ccccc3)cc2)c(=O)[nH]1,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,evolved,0.433,0.765,1.91,,6,9 10 11 12 13 14
CCOC(=O)Nc1ccccc1,CCOC(=O)Nc1nc2cc(C(=O)Nc3ccccc3)ccc2[nH]1,evolved,0.412,0.729,1.32,,3,0 1 2
O=C(Nc1ccccc1)c1ccc2[nH]c(N3CCOCC3)nc2c1,CCOC(=O)Nc1nc2cc(C(=O)Nc3ccccc3)ccc2[nH]1,evolved,0.466,0.778,2.02,,6,15 16 17 18 19 20
Cc1nc2cc(C(=O)Nc3ccccc3)ccc2[nH]1,CCOC(=O)Nc1nc2cc(C(=O)Nc3ccccc3)ccc2[nH]1,evolved,0.611,0.735,1.74,,1,0
O=C(Nc1ccccc1)c1ccc2[nH]c(F)nc2c1,CCOC(=O)Nc1nc2cc(C(=O)Nc3ccccc3)ccc2[nH]1,evolved,0.575,0.739,2.02,,1,15
O=C(CN1CCN(c2ccccc2)CC1)Nc1ccccc1,O=C(CN1CCN(c2ccccc2)CC1)NCc1ccc(F)cc1,evolved,0.507,0.941,1.5,,6,16 17 18 19 20 21
Cc1ccccc1NC(=O)CN1CCN(c2ccccc2)CC1,O=C(CN1CCN(c2ccccc2)CC1)NCc1ccc(F)cc1,evolved,0.459,0.943,1.57,,7,0 1 2 3 4 5 6
O=C(Cc1ccc(F)cc1)NCc1ccccc1,O=C(CN1CCN(c2ccccc2)CC1)NCc1ccc(F)cc1,evolved,0.433,0.878,1.37,,7,3 4 5 6 7 8 9
N=C1N(C2CCCCC2)CCN1S(=O)(=O)c1ccccc1,C/C=C\C(=O)NCCc1ccc(S(=O)(=O)N2CCN(C3CCCCC3)C2=N)cc1,evolved,0.532,0.931,2.35,,0,
COc1ccc(C2Sc3cc(Cl)ccc3N(C)C(=O)C2C)cc1,CCC(=O)OC1C(=O)N(CCN(C)C)c2ccc(Cl)cc2SC1c1ccc(OC)cc1,evolved,0.452,0.781,3.08,,1,20
